filename,frame_index,timestamp_seconds,source_video
dataset\VideoOneShorten\frames\frame_000000.png,0,0.0,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000001.png,1,0.16666666666666666,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000002.png,2,0.3333333333333333,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000003.png,3,0.5,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000004.png,4,0.6666666666666666,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000005.png,5,0.8333333333333334,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000006.png,6,1.0,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000007.png,7,1.1666666666666667,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000008.png,8,1.3333333333333333,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000009.png,9,1.5,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000010.png,10,1.6666666666666667,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000011.png,11,1.8333333333333333,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000012.png,12,2.0,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000013.png,13,2.1666666666666665,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000014.png,14,2.3333333333333335,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000015.png,15,2.5,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000016.png,16,2.6666666666666665,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000017.png,17,2.8333333333333335,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000018.png,18,3.0,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000019.png,19,3.1666666666666665,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000020.png,20,3.3333333333333335,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000021.png,21,3.5,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000022.png,22,3.6666666666666665,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000023.png,23,3.8333333333333335,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000024.png,24,4.0,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000025.png,25,4.166666666666667,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000026.png,26,4.333333333333333,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000027.png,27,4.5,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000028.png,28,4.666666666666667,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000029.png,29,4.833333333333333,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000030.png,30,5.0,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000031.png,31,5.166666666666667,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000032.png,32,5.333333333333333,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000033.png,33,5.5,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000034.png,34,5.666666666666667,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000035.png,35,5.833333333333333,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000036.png,36,6.0,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000037.png,37,6.166666666666667,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000038.png,38,6.333333333333333,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000039.png,39,6.5,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000040.png,40,6.666666666666667,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000041.png,41,6.833333333333333,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000042.png,42,7.0,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000043.png,43,7.166666666666667,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000044.png,44,7.333333333333333,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000045.png,45,7.5,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000046.png,46,7.666666666666667,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000047.png,47,7.833333333333333,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000048.png,48,8.0,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000049.png,49,8.166666666666666,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000050.png,50,8.333333333333334,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000051.png,51,8.5,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000052.png,52,8.666666666666666,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000053.png,53,8.833333333333334,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000054.png,54,9.0,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000055.png,55,9.166666666666666,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000056.png,56,9.333333333333334,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000057.png,57,9.5,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000058.png,58,9.666666666666666,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000059.png,59,9.833333333333334,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000060.png,60,10.0,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000061.png,61,10.166666666666666,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000062.png,62,10.333333333333334,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000063.png,63,10.5,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000064.png,64,10.666666666666666,videos\VideoOneShorten.mp4
dataset\VideoOneShorten\frames\frame_000065.png,65,10.833333333333334,videos\VideoOneShorten.mp4
